pptname;invariant;invariantType;variables;postmanAssertion;tp;fp;enter;bug
/artists/{id}/albums&getArtistAlbums&200&items&artists():::ENTER;size(input.include_groups[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.include_groups[..]));pm.expect(input_include_groups_size_array).to.be.at.least(1);0;0;1;0
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT;LENGTH(return.href)==57;daikon.inv.unary.string.FixedLengthString;(return.href);pm.expect(return_href).to.have.length(57);1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT;return.href is Url;daikon.inv.unary.string.IsUrl;(return.href);pm.expect(return_href).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/);1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT;LENGTH(return.id)==22;daikon.inv.unary.string.FixedLengthString;(return.id);pm.expect(return_id).to.have.length(22);1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT;"return.type == ""artist""";daikon.inv.unary.string.OneOfString;(return.type);"pm.expect([""artist""].includes(return_type)).to.be.true";1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT;LENGTH(return.type)==6;daikon.inv.unary.string.FixedLengthString;(return.type);pm.expect(return_type).to.have.length(6);1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT;LENGTH(return.uri)==37;daikon.inv.unary.string.FixedLengthString;(return.uri);pm.expect(return_uri).to.have.length(37);1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT;size(input.include_groups[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.include_groups[..]));pm.expect(input_include_groups_size_array).to.be.at.least(1);0;0;1;0
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT;return.id is a substring of return.href;daikon.inv.binary.twoString.StdString$SubString;(return.href, return.id);pm.expect(return_href.includes(return_id)).to.be.true;1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT;return.type is a substring of return.href;daikon.inv.binary.twoString.StdString$SubString;(return.href, return.type);pm.expect(return_href.includes(return_type)).to.be.true;1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT;return.id is a substring of return.uri;daikon.inv.binary.twoString.StdString$SubString;(return.id, return.uri);pm.expect(return_uri.includes(return_id)).to.be.true;1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT;return.type is a substring of return.uri;daikon.inv.binary.twoString.StdString$SubString;(return.type, return.uri);pm.expect(return_uri.includes(return_type)).to.be.true;1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items&images():::ENTER;size(input.include_groups[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.include_groups[..]));pm.expect(input_include_groups_size_array).to.be.at.least(1);0;0;1;0
/artists/{id}/albums&getArtistAlbums&200&items&images():::EXIT;return.height == return.width;daikon.inv.binary.twoScalar.IntEqual;(return.height, return.width);pm.expect(return_height).to.eql(return_width);1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items&images():::EXIT;return.height one of { 64, 300, 640 };daikon.inv.unary.scalar.OneOfScalar;(return.height);pm.expect([64, 300, 640].includes(return_height)).to.be.true;1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items&images():::EXIT;LENGTH(return.url)==64;daikon.inv.unary.string.FixedLengthString;(return.url);pm.expect(return_url).to.have.length(64);1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items&images():::EXIT;return.url is Url;daikon.inv.unary.string.IsUrl;(return.url);pm.expect(return_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/);1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items&images():::EXIT;size(input.include_groups[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.include_groups[..]));pm.expect(input_include_groups_size_array).to.be.at.least(1);0;0;1;0
/artists/{id}/albums&getArtistAlbums&200&items():::ENTER;size(input.include_groups[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.include_groups[..]));pm.expect(input_include_groups_size_array).to.be.at.least(1);0;0;1;0
/artists/{id}/albums&getArtistAlbums&200&items():::EXIT;"return.album_type one of { ""album"", ""compilation"", ""single"" }";daikon.inv.unary.string.OneOfString;(return.album_type);"pm.expect([""album"", ""compilation"", ""single""].includes(return_album_type)).to.be.true";1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items():::EXIT;All the elements of return.available_markets[] have LENGTH=2;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(return.available_markets[..]);pm.expect(return_available_markets_array.every(element => element.length === 2)).to.be.true;1;0;0;0
/artists/{id}/albums&getArtistAlbums&200&items():::EXIT;LENGTH(return.href)==56;daikon.inv.unary.string.FixedLengthString;(return.href);pm.expect(return_href).to.have.length(56);1;0;0;0
