pptname;invariant;invariantType;variables;tp;fp;enter;bug;postmanAssertion
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.user_id == return.owner.id;daikon.inv.binary.twoString.StringEqual;(input.user_id, return.owner.id);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.name == return.name;daikon.inv.binary.twoString.StringEqual;(input.name, return.name);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.description == return.description;daikon.inv.binary.twoString.StringEqual;(input.description, return.description);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.public == return.public;daikon.inv.binary.twoScalar.IntEqual;(input.public, return.public);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.collaborative == return.collaborative;daikon.inv.binary.twoScalar.IntEqual;(input.collaborative, return.collaborative);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.followers.total == return.tracks.offset;daikon.inv.binary.twoScalar.IntEqual;(return.followers.total, return.tracks.offset);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.followers.total == return.tracks.total;daikon.inv.binary.twoScalar.IntEqual;(return.followers.total, return.tracks.total);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.followers.total == size(return.images[]);daikon.inv.binary.twoScalar.IntEqual;(return.followers.total, size(return.images[..]));1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.followers.total == size(return.tracks.items[]);daikon.inv.binary.twoScalar.IntEqual;(return.followers.total, size(return.tracks.items[..]));1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.external_urls.spotify)==56;daikon.inv.unary.string.FixedLengthString;(return.external_urls.spotify);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.external_urls.spotify is Url;daikon.inv.unary.string.IsUrl;(return.external_urls.spotify);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.href)==59;daikon.inv.unary.string.FixedLengthString;(return.href);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.href is Url;daikon.inv.unary.string.IsUrl;(return.href);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.id)==22;daikon.inv.unary.string.FixedLengthString;(return.id);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.images[] == [];daikon.inv.unary.sequence.OneOfSequence;(return.images[..]);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.owner.external_urls.spotify is Url;daikon.inv.unary.string.IsUrl;(return.owner.external_urls.spotify);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.owner.followers == null;daikon.inv.unary.scalar.OneOfScalar;(return.owner.followers);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.owner.href is Url;daikon.inv.unary.string.IsUrl;(return.owner.href);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;"return.owner.type == ""user""";daikon.inv.unary.string.OneOfString;(return.owner.type);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.owner.type)==4;daikon.inv.unary.string.FixedLengthString;(return.owner.type);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.snapshot_id)==56;daikon.inv.unary.string.FixedLengthString;(return.snapshot_id);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.tracks.href)==66;daikon.inv.unary.string.FixedLengthString;(return.tracks.href);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.tracks.href is Url;daikon.inv.unary.string.IsUrl;(return.tracks.href);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.tracks.items[] == [];daikon.inv.unary.sequence.OneOfSequence;(return.tracks.items[..]);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.tracks.limit == 100;daikon.inv.unary.scalar.OneOfScalar;(return.tracks.limit);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;"return.type == ""playlist""";daikon.inv.unary.string.OneOfString;(return.type);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.type)==8;daikon.inv.unary.string.FixedLengthString;(return.type);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.uri)==39;daikon.inv.unary.string.FixedLengthString;(return.uri);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.user_id is a substring of return.owner.external_urls.spotify;daikon.inv.binary.twoString.StdString$SubString;(input.user_id, return.owner.external_urls.spotify);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.user_id is a substring of return.owner.href;daikon.inv.binary.twoString.StdString$SubString;(input.user_id, return.owner.href);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.user_id is a substring of return.owner.uri;daikon.inv.binary.twoString.StdString$SubString;(input.user_id, return.owner.uri);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.id is a substring of return.external_urls.spotify;daikon.inv.binary.twoString.StdString$SubString;(return.external_urls.spotify, return.id);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.type is a substring of return.external_urls.spotify;daikon.inv.binary.twoString.StdString$SubString;(return.external_urls.spotify, return.type);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.id is a substring of return.href;daikon.inv.binary.twoString.StdString$SubString;(return.href, return.id);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.href is a substring of return.tracks.href;daikon.inv.binary.twoString.StdString$SubString;(return.href, return.tracks.href);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.type is a substring of return.href;daikon.inv.binary.twoString.StdString$SubString;(return.href, return.type);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.id is a substring of return.uri;daikon.inv.binary.twoString.StdString$SubString;(return.id, return.uri);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.owner.type is a substring of return.owner.external_urls.spotify;daikon.inv.binary.twoString.StdString$SubString;(return.owner.external_urls.spotify, return.owner.type);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.owner.type is a substring of return.owner.href;daikon.inv.binary.twoString.StdString$SubString;(return.owner.href, return.owner.type);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.owner.type is a substring of return.owner.uri;daikon.inv.binary.twoString.StdString$SubString;(return.owner.type, return.owner.uri);1;0;0;0;TODO: IMPLEMENT
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.type is a substring of return.uri;daikon.inv.binary.twoString.StdString$SubString;(return.type, return.uri);1;0;0;0;TODO: IMPLEMENT
