pptname;invariant;invariantType;variables;postmanAssertion;tp
/businesses/search&getBusinesses&200&businesses&categories():::ENTER;size(input.categories[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.categories[..]));warning: method daikon.inv.unary.scalar.LowerBound.format(OutputFormat:Postman) needs to be implemented: size(input.categories[..]) >= 1;1
/businesses/search&getBusinesses&200&businesses&categories():::ENTER;size(input.price[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.price[..]));warning: method daikon.inv.unary.scalar.LowerBound.format(OutputFormat:Postman) needs to be implemented: size(input.price[..]) >= 1;1
/businesses/search&getBusinesses&200&businesses&categories():::ENTER;size(input.attributes[]) one of { 1, 2, 3 };daikon.inv.unary.scalar.OneOfScalar;(size(input.attributes[..]));warning: method daikon.inv.unary.scalar.OneOfScalar.format(OutputFormat:Postman) needs to be implemented: size(input.attributes[..]) one of { 1, 2, 3 };1
/businesses/search&getBusinesses&200&businesses&categories():::EXIT;size(input.categories[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.categories[..]));warning: method daikon.inv.unary.scalar.LowerBound.format(OutputFormat:Postman) needs to be implemented: size(input.categories[..]) >= 1;1
/businesses/search&getBusinesses&200&businesses&categories():::EXIT;size(input.price[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.price[..]));warning: method daikon.inv.unary.scalar.LowerBound.format(OutputFormat:Postman) needs to be implemented: size(input.price[..]) >= 1;1
/businesses/search&getBusinesses&200&businesses&categories():::EXIT;size(input.attributes[]) one of { 1, 2, 3 };daikon.inv.unary.scalar.OneOfScalar;(size(input.attributes[..]));warning: method daikon.inv.unary.scalar.OneOfScalar.format(OutputFormat:Postman) needs to be implemented: size(input.attributes[..]) one of { 1, 2, 3 };1
/businesses/search&getBusinesses&200&businesses():::ENTER;size(input.categories[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.categories[..]));warning: method daikon.inv.unary.scalar.LowerBound.format(OutputFormat:Postman) needs to be implemented: size(input.categories[..]) >= 1;1
/businesses/search&getBusinesses&200&businesses():::ENTER;size(input.price[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.price[..]));warning: method daikon.inv.unary.scalar.LowerBound.format(OutputFormat:Postman) needs to be implemented: size(input.price[..]) >= 1;1
/businesses/search&getBusinesses&200&businesses():::ENTER;size(input.attributes[]) one of { 1, 2, 3 };daikon.inv.unary.scalar.OneOfScalar;(size(input.attributes[..]));warning: method daikon.inv.unary.scalar.OneOfScalar.format(OutputFormat:Postman) needs to be implemented: size(input.attributes[..]) one of { 1, 2, 3 };1
/businesses/search&getBusinesses&200&businesses():::EXIT;LENGTH(return.id)==22;daikon.inv.unary.string.FixedLengthString;(return.id);pm.expect(return_id).to.have.length(22);1
